,index,Data,Hora Início,Emissora,Rat,Shr
0,1,Janeiro,06:00:00,Rede Tv!,0.0108,0.0408
1,2,Fevereiro,06:00:00,Rede Tv!,0.0117,0.0456
2,3,Março,06:00:00,Rede Tv!,0.0255,0.0989
3,4,Abril,06:00:00,Rede Tv!,0.0101,0.0402
4,5,Maio,06:00:00,Rede Tv!,0.0113,0.0418
5,6,Janeiro,06:00:00,TV BAND,0.2678,1.0133
6,7,Fevereiro,06:00:00,TV BAND,0.3158,1.2338
7,8,Março,06:00:00,TV BAND,0.4292,1.666
8,9,Abril,06:00:00,TV BAND,0.4076,1.6149
9,10,Maio,06:00:00,TV BAND,0.3953,1.4568
10,11,Janeiro,06:00:00,Record TV,4.9137,18.5918
11,12,Fevereiro,06:00:00,Record TV,4.7608,18.6016
12,13,Março,06:00:00,Record TV,5.1449,19.9734
13,14,Abril,06:00:00,Record TV,4.6819,18.5497
14,15,Maio,06:00:00,Record TV,5.5933,20.6146
15,16,Janeiro,06:00:00,SBT,1.5554,5.8853
16,17,Fevereiro,06:00:00,SBT,1.8018,7.04
17,18,Março,06:00:00,SBT,1.9376,7.5222
18,19,Abril,06:00:00,SBT,1.7825,7.0621
19,20,Maio,06:00:00,SBT,1.9041,7.0178
20,21,Janeiro,06:00:00,TVE BAHIA,0.2232,0.8446
21,22,Fevereiro,06:00:00,TVE BAHIA,0.2193,0.8567
22,23,Março,06:00:00,TVE BAHIA,0.3461,1.3436
23,24,Abril,06:00:00,TVE BAHIA,0.4135,1.6384
24,25,Maio,06:00:00,TVE BAHIA,0.4306,1.5869
25,26,Janeiro,06:00:00,GLOBO,9.0382,34.1977
26,27,Fevereiro,06:00:00,GLOBO,9.2244,36.0421
27,28,Março,06:00:00,GLOBO,9.6444,37.4412
28,29,Abril,06:00:00,GLOBO,9.5378,37.7885
29,30,Maio,06:00:00,GLOBO,10.2735,37.8638
30,31,Janeiro,06:00:00,Total Ligados Especial,26.4293,100.0
31,32,Fevereiro,06:00:00,Total Ligados Especial,25.5935,100.0
32,33,Março,06:00:00,Total Ligados Especial,25.7588,100.0
33,34,Abril,06:00:00,Total Ligados Especial,25.24,100.0
34,35,Maio,06:00:00,Total Ligados Especial,27.1326,100.0
